u_cor_T],[pi_T_ts],[TFP],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[
230],[230],[230],[230],[230],[230],[230],[230],[230],[230],[230],[230],[230],[230],[310],[310],[310],[310],[310],[310],[310],[310],[310],[310],[310],[370],[370],[370],[370],[370],[370],[370],[370],[370],[370],[370],[370],[420],[420],[420],[420],[420],[420],[420],[420],[420],[420],[460],[460],[460],[460],[460],[460],[460],[460],[460],[490],[490],[490],[490],[490],[490],[490],[490],[490],[490],[490
1.27305],[1.30392],[1.34063],[1.38482],[1.43878],[1.50577],[1.59061],[1.70066],[1.84776],[2.05185],[2.34924],[2.81181],[3.60117],[5.14998],[1.56859],[1.64246],[1.73300],[1.84593],[1.98978],[2.17775],[2.43124],[2.78692],[3.31249],[4.14437],[5.59556],[1.62875],[1.70066],[1.78670],[1.89112],[2.01987],[2.18164],[2.38951],[2.66399],[3.03889],[3.57328],[4.37845],[5.68477],[1.89758],[2.01082],[2.14910],[2.32089],[2.53862],[2.82132],[3.19928],[3.72335],[4.48437],[5.65837],[2.18561],[2.34920],[2.55297],[2.81192],[3.14922],[3.60162],[4.23158],[5.15036],[6.57447],[1.98744],[2.09974],[2.23427],[2.39757],[2.59905],[2.85253],[3.17847],[3.60885],[4.19613],[5.03101],[6.28144
1.34714],[1.41808],[1.47987],[1.55098],[1.62026],[1.69219],[1.76749],[1.83998],[1.91347],[1.98128],[2.04018],[2.08743],[2.12260],[2.14005],[1.70196],[1.76007],[1.82271],[1.88606],[1.94728],[1.99856],[2.04304],[2.07270],[2.09661],[2.10873],[2.11359],[1.66262],[1.74188],[1.80367],[1.85706],[1.91208],[1.96354],[2.00749],[2.03871],[2.06440],[2.07534],[2.07976],[2.08288],[1.80382],[1.85943],[1.90675],[1.95196],[1.99088],[2.01801],[2.03485],[2.04353],[2.04648],[2.04907],[1.87387],[1.91543],[1.95202],[1.97916],[1.99535],[2.00660],[2.01019],[2.01245],[2.01500],[1.73492],[1.79872],[1.85162],[1.89298],[1.92448],[1.95086],[1.96645],[1.97586],[1.97966],[1.98179],[1.98397
