u_cor_T],[u_c0],[eta_is_T_ts],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[

[230,0.67003],[230,0.64003],[230,0.61003],[230,0.58002],[230,0.55002],[230,0.52002],[230,0.49001],[230,0.46001],[230,0.43001],[230,0.40001],[230,0.37001],[230,0.34001],[230,0.31001],[230,0.28000]
[0.72512],[0.73310],[0.72671],[0.72343],[0.71180],[0.69758],[0.68061],[0.65528],[0.62858],[0.59563],[0.55927],[0.51316],[0.45432],[0.38027],

[310,0.67002],[310,0.64002],[310,0.61002],[310,0.58001],[310,0.55001],[310,0.52001],[310,0.49001],[310,0.46001],[310,0.43001],[310,0.40001],[310,0.36999]
[0.75248],[0.74370],[0.73599],[0.72664],[0.71568],[0.69464],[0.67130],[0.63371],[0.58810],[0.52842],[0.45515]

[370,0.77003],[370,0.74002],[370,0.71002],[370,0.68002],[370,0.65002],[370,0.62001],[370,0.59001],[370,0.56000],[370,0.53000],[370,0.50000],[370,0.47000],[370,0.44000]
[0.71861],[0.74990],[0.75678],[0.75211],[0.74910],[0.74205],[0.72979],[0.70555],[0.67896],[0.63054],[0.56894],[0.50011]

[420,0.77002],[420,0.74002],[420,0.71002],[420,0.68001],[420,0.65001],[420,0.62000],[420,0.59000],[420,0.56000],[420,0.53000],[420,0.49999]
[0.74273],[0.75504],[0.75439],[0.75257],[0.74717],[0.73219],[0.69862],[0.65510],[0.59648],[0.53200]

[460,0.77001],[460,0.74002],[460,0.71001],[460,0.68001],[460,0.65000],[460,0.62000],[460,0.58999],[460,0.55999],[460,0.52997]
[0.74287],[0.74792],[0.74917],[0.74360],[0.72002],[0.68578],[0.63524],[0.57573],[0.51651]

[490,0.87005],[490,0.84003],[490,0.81001],[490,0.78001],[490,0.75002],[490,0.72001],[490,0.69000],[490,0.66000],[490,0.63000],[490,0.59999],[490,0.56998]
[0.66493],[0.69772],[0.72228],[0.73507],[0.73727],[0.73893],[0.72659],[0.69350],[0.64730],[0.59164],[0.53474]
